ParkingID,OwnerEmail,ParkingName,Location,Address,HourlyRate,Score,IsOpen,Latitude,Longitude
PARK-001,olivia.owner@example.com,SantaPark,Newtown,"330 King Street, Newtown NSW 2042",$10,4.2,True,-33.8976,151.1792
PARK-002,michael.owner@example.com,CatParking,Sydney CBD,"187 Thomas Street, Haymarket NSW 2000",$20,4.5,True,-33.8812,151.2028
PARK-003,emma.owner@example.com,ParkNow,Parramatta,"20 Macquarie Street, Parramatta NSW 2150",$50,3.8,False,-33.8141,151.0054
PARK-004,olivia.owner@example.com,HappyParking,Bondi,"38 Hall Street, Bondi Beach NSW 2026",$60,4.7,True,-33.8882,151.2708
PARK-005,michael.owner@example.com,MoonlightParking,Manly,"25 Wentworth Street, Manly NSW 2095",$30,4.4,True,-33.7992,151.2867
PARK-006,emma.owner@example.com,RomanticParking,Newtown,"18 Enmore Road, Newtown NSW 2042",$30,3.9,False,-33.8997,151.1745
PARK-007,olivia.owner@example.com,WorldPark,Sydney CBD,"1 Eddy Avenue, Haymarket NSW 2000",$25,4.1,True,-33.8830,151.2061
PARK-008,michael.owner@example.com,CentralParking,Parramatta,"140 Marsden Street, Parramatta NSW 2150",$35,4.6,True,-33.8168,151.0012
PARK-009,emma.owner@example.com,SmileParking,Bondi,"180 Campbell Parade, Bondi Beach NSW 2026",$40,4.0,False,-33.8910,151.2748
PARK-010,olivia.owner@example.com,FriendshipParking,Manly,"12 Whistler Street, Manly NSW 2095",$30,4.8,True,-33.7971,151.2862
PARK-011,michael.owner@example.com,MetroPark,Sydney CBD,"50 Goulburn Street, Sydney NSW 2000",$28,4.3,True,-33.8784,151.2058
PARK-012,emma.owner@example.com,HarbourGarage,Sydney CBD,"100 Murray Street, Pyrmont NSW 2009",$32,4.6,True,-33.8715,151.1977
PARK-013,olivia.owner@example.com,CitySquareParking,Sydney CBD,"60 Elizabeth Street, Sydney NSW 2000",$38,4.1,False,-33.8716,151.2105
PARK-014,michael.owner@example.com,DomainParking,Sydney CBD,"1 St Marys Road, Sydney NSW 2000",$24,4.7,True,-33.8712,151.2164
PARK-015,emma.owner@example.com,RiverPark,Parramatta,"30 Phillip Street, Parramatta NSW 2150",$22,4.2,True,-33.8113,151.0090
PARK-016,olivia.owner@example.com,WestGateParking,Parramatta,"85 George Street, Parramatta NSW 2150",$27,3.9,True,-33.8144,151.0080
PARK-017,michael.owner@example.com,CivicPlaceGarage,Parramatta,"12 Darcy Street, Parramatta NSW 2150",$18,4.5,False,-33.8171,151.0052
PARK-018,emma.owner@example.com,ChurchStreetParking,Parramatta,"210 Church Street, Parramatta NSW 2150",$25,4.3,True,-33.8111,151.0033
PARK-019,olivia.owner@example.com,BeachsideGarage,Bondi,"90 Curlewis Street, Bondi Beach NSW 2026",$45,4.6,True,-33.8879,151.2745
PARK-020,michael.owner@example.com,PacificParking,Bondi,"152 Campbell Parade, Bondi Beach NSW 2026",$55,4.2,True,-33.8901,151.2746
PARK-021,emma.owner@example.com,OceanViewParking,Bondi,"16 O'Brien Street, Bondi Beach NSW 2026",$35,3.8,False,-33.8874,151.2695
PARK-022,olivia.owner@example.com,JunctionPark,Bondi,"80 Ebley Street, Bondi Junction NSW 2022",$30,4.4,True,-33.8925,151.2473
PARK-023,michael.owner@example.com,KingStreetGarage,Newtown,"198 King Street, Newtown NSW 2042",$16,4.0,True,-33.8945,151.1834
PARK-024,emma.owner@example.com,EnmorePark,Newtown,"110 Enmore Road, Newtown NSW 2042",$14,4.5,True,-33.9000,151.1710
PARK-025,olivia.owner@example.com,StationParking,Newtown,"2 Station Street, Newtown NSW 2042",$20,4.1,False,-33.8971,151.1798
PARK-026,michael.owner@example.com,CamperdownGarage,Newtown,"25 Missenden Road, Camperdown NSW 2050",$18,4.3,True,-33.8885,151.1774
PARK-027,emma.owner@example.com,CorsoParking,Manly,"45 The Corso, Manly NSW 2095",$34,4.2,True,-33.7970,151.2872
PARK-028,olivia.owner@example.com,HarbourSideGarage,Manly,"8 East Esplanade, Manly NSW 2095",$28,4.6,True,-33.7997,151.2847
PARK-029,michael.owner@example.com,OceanBeachParking,Manly,"95 North Steyne, Manly NSW 2095",$38,4.0,False,-33.7927,151.2884
PARK-030,emma.owner@example.com,IvanhoePark,Manly,"10 Sydney Road, Manly NSW 2095",$26,4.4,True,-33.7973,151.2840
